Current Settings:
        -testcase stability_measurement
        -method analytic
        -mass 0.1
        -step 0.001
        -stiff 10
        -damp 0.5

Max amplitude table:
step 	euler 		symplectic	midpoint 	backwards 	analytic
0.001 	2.1424 		2.14164 	2.14169 	2.14164 	2.00049
0.002 	2.14313 	2.1416 		2.14169 	2.1416 		2.001
0.004 	2.14463 	2.14151 	2.14168 	2.14151 	2.00202
0.008 	2.14779 	2.14137 	2.14162 	2.14134 	2.00415
0.016 	2.15492 	2.14119 	2.14146 	2.14102 	2.00873
0.032 	2.17261 	2.14106 	2.14084 	2.14075 	2.01898
0.064 	2.14875e+185 	2.14162 	2.13799 	2.14172 	2.04258
0.128 	inf 		2.15942 	2.12445 	2.16073 	2.09231
0.256 	inf 		1.82807e+306 	1.2114e+307 	inf 		2.14709
0.512 	inf 		5.12317e+306 	3.80342e+307 	inf 		2.08465
